epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.704,1.59805,2.26563,1.58179,0.65704,0.39994,0.42793,0.20344,1.87202,1.8375,1.76327,0.000554467,0.000554467,0.000554467
2,204.962,1.59492,1.7422,1.56377,0.52461,0.46668,0.44633,0.22146,1.74557,1.67517,1.6947,0.00109296,0.00109296,0.00109296
3,302.251,1.60428,1.65512,1.56339,0.72126,0.53776,0.58113,0.32448,1.67855,1.48753,1.62516,0.00161426,0.00161426,0.00161426
4,398.107,1.55177,1.55224,1.53702,0.71712,0.5606,0.59652,0.34269,1.60728,1.42542,1.58803,0.00158964,0.00158964,0.00158964
5,494.249,1.5202,1.4828,1.51097,0.62427,0.58399,0.59083,0.34661,1.58386,1.38315,1.56237,0.00156385,0.00156385,0.00156385
6,590.767,1.45794,1.39456,1.46434,0.77988,0.61184,0.66084,0.38811,1.55284,1.27139,1.52235,0.00153807,0.00153807,0.00153807
7,687.321,1.45263,1.35214,1.4533,0.68842,0.61791,0.65516,0.38581,1.50618,1.23028,1.48958,0.00151228,0.00151228,0.00151228
8,783.816,1.40274,1.28706,1.41895,0.69061,0.58752,0.63478,0.38265,1.47198,1.21523,1.4845,0.0014865,0.0014865,0.0014865
9,880.273,1.39359,1.26722,1.42177,0.77521,0.62147,0.68108,0.40854,1.4851,1.1844,1.46371,0.00146071,0.00146071,0.00146071
10,976.628,1.36693,1.23725,1.3982,0.79247,0.59301,0.66434,0.41617,1.46491,1.17177,1.4468,0.00143492,0.00143492,0.00143492
11,1072.93,1.36442,1.22024,1.39636,0.73948,0.64043,0.68273,0.41292,1.44844,1.14543,1.43172,0.00140914,0.00140914,0.00140914
12,1168.99,1.3431,1.17455,1.37996,0.77535,0.62921,0.67713,0.40595,1.51727,1.12043,1.46719,0.00138335,0.00138335,0.00138335
13,1265.23,1.32298,1.16653,1.36275,0.7918,0.61158,0.69367,0.4211,1.44886,1.10489,1.43336,0.00135756,0.00135756,0.00135756
14,1363.3,1.30653,1.14554,1.35952,0.70782,0.65176,0.68364,0.42245,1.43249,1.09571,1.43792,0.00133178,0.00133178,0.00133178
15,1465.8,1.29792,1.12001,1.34478,0.7052,0.67018,0.67968,0.42297,1.42998,1.12434,1.40538,0.00130599,0.00130599,0.00130599
16,1569,1.2923,1.10615,1.34299,0.71801,0.65026,0.68923,0.41968,1.4184,1.09161,1.40592,0.0012802,0.0012802,0.0012802
17,1667.78,1.27631,1.08822,1.32928,0.75659,0.65802,0.69554,0.42394,1.43502,1.07759,1.41566,0.00125442,0.00125442,0.00125442
18,1765.97,1.27662,1.08704,1.33239,0.7502,0.63282,0.68492,0.42547,1.45198,1.0971,1.43902,0.00122863,0.00122863,0.00122863
19,1863.7,1.2533,1.05613,1.3173,0.76094,0.64984,0.71703,0.44467,1.39107,1.01839,1.37419,0.00120284,0.00120284,0.00120284
20,1960.65,1.24687,1.05084,1.30771,0.66909,0.67881,0.6943,0.43185,1.41398,1.03499,1.39345,0.00117706,0.00117706,0.00117706
21,2057.86,1.24432,1.03616,1.3102,0.70928,0.67612,0.70524,0.44467,1.38188,1.01273,1.37786,0.00115127,0.00115127,0.00115127
22,2159.08,1.22298,1.00879,1.29329,0.74778,0.66324,0.70282,0.43201,1.39717,1.03335,1.3896,0.00112549,0.00112549,0.00112549
23,2260.9,1.22717,1.01525,1.29594,0.72427,0.66483,0.7008,0.43678,1.39097,1.01721,1.39231,0.0010997,0.0010997,0.0010997
24,2361.74,1.21116,0.98451,1.28744,0.77574,0.66753,0.7169,0.44203,1.40755,1.00332,1.38996,0.00107391,0.00107391,0.00107391
25,2462.53,1.19615,0.96853,1.2792,0.75857,0.61863,0.70731,0.43821,1.38917,1.01138,1.38452,0.00104813,0.00104813,0.00104813
26,2561.19,1.20175,0.97326,1.27844,0.71107,0.69357,0.71159,0.4481,1.39481,1.00246,1.38347,0.00102234,0.00102234,0.00102234
27,2659.99,1.18853,0.95259,1.26939,0.70636,0.71438,0.72257,0.4559,1.36303,0.98567,1.35729,0.000996553,0.000996553,0.000996553
28,2757.62,1.17102,0.93219,1.26345,0.7245,0.65773,0.69798,0.43817,1.37293,0.99691,1.37805,0.000970767,0.000970767,0.000970767
29,2854.64,1.17273,0.9258,1.25487,0.72946,0.70333,0.71557,0.4484,1.39599,0.99318,1.37211,0.000944981,0.000944981,0.000944981
30,2952.68,1.15857,0.91793,1.25507,0.74942,0.70225,0.72475,0.45875,1.37377,0.96071,1.35202,0.000919194,0.000919194,0.000919194
31,3055.87,1.15291,0.90865,1.24899,0.69888,0.71529,0.71606,0.45435,1.35774,0.96463,1.35633,0.000893408,0.000893408,0.000893408
32,3157.86,1.13904,0.89931,1.24022,0.71564,0.70348,0.71374,0.45295,1.3477,0.97508,1.33974,0.000867621,0.000867621,0.000867621
33,3258.97,1.12764,0.89142,1.23556,0.7296,0.70348,0.72187,0.4603,1.34701,0.98148,1.34325,0.000841835,0.000841835,0.000841835
34,3360.11,1.11821,0.87472,1.22101,0.77983,0.68612,0.72554,0.46546,1.33572,0.96149,1.33922,0.000816049,0.000816049,0.000816049
35,3461.96,1.12137,0.86568,1.22808,0.71784,0.70125,0.7261,0.46316,1.33835,0.94182,1.34284,0.000790262,0.000790262,0.000790262
36,3563.37,1.11003,0.86061,1.21699,0.7662,0.67589,0.72237,0.454,1.33229,0.95236,1.35551,0.000764476,0.000764476,0.000764476
37,3664.07,1.10268,0.85494,1.21276,0.75573,0.68752,0.7203,0.45272,1.3232,0.92599,1.33668,0.000738689,0.000738689,0.000738689
38,3767.61,1.09034,0.83602,1.20477,0.72931,0.70111,0.72186,0.45695,1.34843,0.94266,1.35117,0.000712903,0.000712903,0.000712903
39,3867.97,1.08418,0.82853,1.20485,0.71719,0.72159,0.71878,0.4606,1.32882,0.93407,1.34618,0.000687117,0.000687117,0.000687117
40,3965.09,1.08412,0.82845,1.20287,0.74418,0.72036,0.7293,0.46369,1.34128,0.92449,1.34547,0.00066133,0.00066133,0.00066133
41,4063.91,1.05899,0.80583,1.19383,0.74626,0.69902,0.73011,0.46012,1.3387,0.92134,1.34306,0.000635544,0.000635544,0.000635544
42,4169.52,1.07429,0.80373,1.19511,0.77669,0.67649,0.72314,0.45752,1.32355,0.91487,1.33687,0.000609757,0.000609757,0.000609757
43,4273.36,1.06129,0.7914,1.18869,0.72774,0.7192,0.72364,0.4618,1.31813,0.9232,1.32745,0.000583971,0.000583971,0.000583971
44,4375.8,1.05649,0.78942,1.18462,0.72661,0.72664,0.72311,0.46234,1.31681,0.91961,1.32697,0.000558185,0.000558185,0.000558185
45,4479,1.04736,0.78127,1.17773,0.78605,0.66869,0.7247,0.46109,1.33353,0.91495,1.34601,0.000532398,0.000532398,0.000532398
46,4582.57,1.03602,0.7725,1.17339,0.75259,0.69641,0.72112,0.45724,1.32605,0.91807,1.33783,0.000506612,0.000506612,0.000506612
47,4686.36,1.04465,0.77542,1.17494,0.73797,0.70027,0.72776,0.45624,1.32336,0.91217,1.34149,0.000480825,0.000480825,0.000480825
48,4791.58,1.02954,0.76476,1.16753,0.73041,0.70772,0.71939,0.45998,1.3211,0.90633,1.3433,0.000455039,0.000455039,0.000455039
49,4894.25,1.02453,0.75293,1.1659,0.80533,0.67937,0.73027,0.45778,1.33171,0.90108,1.33796,0.000429253,0.000429253,0.000429253
50,4995.33,1.01327,0.73673,1.15751,0.72434,0.70067,0.7124,0.44661,1.32036,0.90168,1.33221,0.000403466,0.000403466,0.000403466
51,5096.92,1.01121,0.73997,1.15769,0.72674,0.70123,0.71205,0.44261,1.31642,0.90888,1.32872,0.00037768,0.00037768,0.00037768
52,5221.81,1.00313,0.73925,1.15626,0.77078,0.69776,0.7215,0.45297,1.31604,0.91791,1.33531,0.000351893,0.000351893,0.000351893
53,5321.39,0.99577,0.7262,1.15141,0.74999,0.70655,0.71657,0.45942,1.31962,0.90632,1.33857,0.000326107,0.000326107,0.000326107
54,5420.19,0.99167,0.71912,1.14606,0.72503,0.71357,0.70993,0.45236,1.31673,0.90811,1.34468,0.00030032,0.00030032,0.00030032
55,5541.7,0.98138,0.64369,1.14496,0.77362,0.70246,0.71204,0.44753,1.30982,0.91075,1.34213,0.000274534,0.000274534,0.000274534
56,5640.24,0.95964,0.62293,1.13479,0.75063,0.70123,0.70543,0.44279,1.30032,0.89727,1.33495,0.000248748,0.000248748,0.000248748
57,5738.58,0.94996,0.60917,1.13185,0.73501,0.71188,0.70803,0.44739,1.29891,0.89434,1.33655,0.000222961,0.000222961,0.000222961
58,5835.99,0.93851,0.60059,1.12258,0.74211,0.68681,0.70768,0.4479,1.30531,0.89703,1.34467,0.000197175,0.000197175,0.000197175
59,5933.08,0.92648,0.58786,1.11638,0.7794,0.67358,0.71479,0.4511,1.3071,0.89474,1.35358,0.000171388,0.000171388,0.000171388
60,6030.47,0.91922,0.58014,1.10932,0.72217,0.71456,0.70458,0.44553,1.30322,0.90122,1.3512,0.000145602,0.000145602,0.000145602
